Geo. Code,Inc. Group Code,Country,VATR,VATGCR,VATPROD,THRESHOLD,VATYEAR,CITR,CITPROD,PITMINR,PITMAXR,PITMAXL,PITMINL,PITPROD,SSR,WEDGE,VATY,CITY,PITY,TAXY ,COST,FUNCTION,SARA,LTU,CUSTOMS,CERTIFICATION,TAXSTAFF,PAYERTO STAFF,HYDRO-CARBON,PCGDP,AG,IMPORTS,PCONS,
5,1,Islamic Republic of Afghanistan,3.5,64.2,0.6,N/A,N/A,20.0, 0.07 ,3.0,20.0,2.65, 1.33 ,0.06,4.00,4.00, 2.17 , 1.33 , 0.89 , 8.75 ,N/A,1,0,1,0,1,N/A,N/A,0,968 , 20.8 , 63.4 , 96.5 ,
2,2,Albania,20.0,50.7,0.45,50466,1996,10.0, 0.49 ,10.0,10.0,0.26, 0.26 ,0.22,27.90,30.47, 9.00 , 4.93 , 2.21 , 23.41 ,0.64,1,1,1,0,1,0.41,56.7,0,7848 , 18.6 , 56.0 , 88.7 ,
4,2,Algeria,17.0,54.7,0.22,1381,1992,25.0, 0.86 ,10.0,40.0,6.15, 0.11 ,0.62,34.00,35.14, 3.78 , 21.50 , 24.50 , 10.05 ,N/A,1,0,0,0,1,N/A,N/A,1,7272 , 11.7 , 36.1 , 40.6 ,
6,2,Angola,10.0,N/A,N/A,N/A,N/A,35.0, N/A ,5.0,17.0,0.42, 0.05 ,2.67,11.00,11.23, N/A , N/A , 42.30 , 46.30 ,N/A,0,0,0,0,1,N/A,N/A,1,5924 , 9.3 , 43.3 , 47.4 ,
3,4,Antigua and Barbuda,15.0,50.5,0.4,112020,2007,25.0, 0.05 ,10.0,25.0,3.08, 0.00 ,0.05,8.00,8.00, 6.25 , 1.13 , 1.13 , 18.24 ,N/A,N/A,0,N/A,0,1,N/A,N/A,0,17433 , 2.3 , 57.6 , 82.6 ,
3,3,Argentina,21.0,65.9,0.40,48528,1975,35.0, 0.08 ,9.0,35.0,1.65, 0.00 ,0.17,35.50,35.50, 8.30 , 2.90 , 5.90 , 26.60 ,1.25,1,1,1,1,1,0.54,81.0,0,17660 , 10.6 , 19.5 , 60.0 ,
2,2,Armenia,20.0,53.4,0.43,156733,1992,20.0, 0.13 ,10.0,20.0,0.02, 0.00 ,0.11,3.00,3.00, 8.70 , 2.59 , 2.15 , 17.32 ,N/A,1,0,1,1,0,0.75,N/A,0,5405 , 20.7 , 48.1 , 81.4 ,
1,4,Australia,10.0,113.1,0.61,77423,2000,30.0, 0.16 ,15.0,45.0,4.54, 0.15 ,0.23,9.00,11.27, 6.10 , 4.80 , 10.20 , 21.60 ,0.99,1,1,1,0,1,0.98,998.0,0,40949 , 2.5 , 19.8 , 53.9 ,
7,4,Austria,20.0,71.4,0.39,41772,1973,25.0, 0.09 ,20.4,50.0,2.01, 0.37 ,0.27,42.35,49.88, 7.80 , 2.20 , 12.20 , 27.30 ,0.66,1,0,1,1,1,0.94,971.4,0,41556 , 1.5 , 54.0 , 54.7 ,
2,2,Azerbaijan,18.0,78.8,0.25,190066,1992,20.0, 0.21 ,14.0,30.0,2.98, 0.00 ,0.05,25.00,25.00, 4.58 , 4.19 , 1.41 , 12.45 ,N/A,1,1,1,0,1,0.25,135.2,1,10213 , 5.8 , 24.2 , 32.3 ,
